Term, Object Type, Inscription Type, Inscription, Ancient Place Name, Ancient Latitude, Ancient Longitude
thraec*,columna,cetera,ven[i]vit / mul(i)eri / D(ecimi) Lucreti Vale(ntis) / Onus(tus(?)) / eques I / r(ationis(?)) / Saga(tus) / t(h)r(aex) / m(urmillo) / I (rationis),Pompeii,40.75,14.25
thraec*,vaso,estampilla,[L]origa / [Me]nto/[nianus vicit] / t(hraex) Clad[dus) / Me[nto/nianus / vicit [o(plomachus) - - -]lia Municipio Calag[orri Iulia] C(aius) Val(erius) Verdull(us pingit),Celsa,41.5,-0.5
thraec*,unbestimmt,unbestimmt,Dis Manibus / Aptus l(ibertus) / T(h)raex,Roma,41.875,12.375
thraec*,parallelepipedum?,sepulcralis,[--- Ca]llicarpus, t(hraex), m(issus) X, d(eceptus) XI, ((miles galeatus cum scuto)) ỌḲ C̣Ạ[---] /,Abellinum,40.75,14.75
thraec*,cippus,sacer,Heis(ce) mag(istreis) Cer(eri) / d(onum) d(ant) / Philodam(us) Titîn̂i C(ai) s(ervus) / Mnasia(s) Plaut(iorum) A(uli) M(arci) / C(aius) Magn(ius) L(uci) l(ibertus) Philod(amus) / M(arcus) Epidi(us) M(arci) l(ibertus) Cresi(mus) / Licinus Larci P(ubli) s(ervus) / Metra(s) Pulli M(arci) s(ervus) / Archelavos Arân̂i P(ubli) 〈:s(ervus)〉 / Antioc(hus) Saufei A(uli) s(ervus) / T(h)raecid(es) Sab<i>d(i) L(uci) s(ervus) / Ĥeliodor(us) Aebût(i) L(uci) s(ervus) / Statius Epidi M(arci) s(ervus) / Agat(h)o(n) Saufei M(arci) s(ervus),Minturnae,41.25,13.75
thraec*,basis,sepulcralis,Trecidae, (Thraecidae) P(ubli) Nanoni / Nepotis ̲ser(vo); v(ixit) a(nnis) XVI.,Tegianum,40.25,15.75
