Term, Object Type, Inscription Type, Inscription, Modern Place Name, Modern Latitude, Modern Longitude
samnit*,unbestimmt,unbestimmt,Germanus / Samnis Iul(iani) XIIII / [na]tione Graeca / n(rum) XXX h(ic) s(itus) e(st),Cádiz,36.5270612,-6.2885962
samnit*,tafel?,grabinschrift,P(ublius) Vergilius P(ubli) l(ibertus) / Samnis hic situs / est ave et vale,Cartagena bei,37.6257,0.9966
samnit*,ignoratur,sepulcralis,Samnis sum genere proculam dixere parentes / Firminum genui Firmino iuncta marito,Atina (Frosinone),37.983917,23.7293599
