Term, Object Type, Inscription Type, Inscription, Modern Place Name, Modern Latitude, Modern Longitude
secutor*,tabula,cetera,[Ex] indulg(entia) D̅(omini) N̅(ostri) / M(arci) Ant(oni) Gordiani, / Pii Fel(icis) Aug(usti), / edente M(arco) Mamilio / Eutychiano II̅II̅⸢quattuorviro⸣ i(ure) d(icundo), / Tĥr(aex) Pinne(n)sis s(ecutor) v(ictor) / de Val(erio) Valerian(o) nat(ione) Raet(o). / Docet Faustus.,Bergamo,45.6982642,9.6772698
secutor*,ara,sepulcralis, carmen,Constantius munerarius / gladiatoribus suis / propter favorem / muneris munus se/pulcrum dedit , De/corato r{ha}etiario, / qui peremit Caeruleum, / et peremptus decidit. / Ambos extinxit rudis / utrosque protegit / rogus. Decoratus, / secutor pugnarum VIIII, / Valeriae uxori do/ lore(m) primum / reliquit.,Trieste,45.6495264,13.7768182
secutor*,tabula,sepulcralis,D(is) M(anibus). / Tauro, secuto/ri, Caesaris ; / ⸢vixit⸣ annis XXIIII. / Calliste ⸢coniux⸣ / b(ene) m(erenti) f(ecit).,Pozzuoli (Napoli)?,40.8459469,14.0932861
secutor*,urne,grabinschrift,D(is) M(anibus) Crinito secutori nat(ione) / Afer an(norum) XX pug(narum) I⸢I⸣ @(obito) Afid/ia posuit de sua sibi / frugalitate / b(ene) m(erenti) p(osuit),Solin,54.3171773,22.8671852
secutor*,urne,grabinschrift,Amabili secutori / nat(ione) Dacus pug(narum) XIII / fato deceptus / non ab homine,Split,43.5081323,16.4401935
secutor*,unbestimmt,grabinschrift,[D(is) M(anibus)] / [---]ucto Hi/larius Secuto[r] / et Resinia Syntro/phen liberti patr[o]/no optimo fa[cien]dum curaverun[t],Trier,49.749992,6.6371433
secutor*,altar,weihinschrift,Genio pr[aep]/ositorum / et Genio con/legi(i){s} secutor/um eorum sub cur(a) / Verani Saturnini / [|(centurionis)] leg(ionis) V[III A]u[g(ustae)---] / [---],Osterburken,49.4287818,9.4243442
secutor*,votivaltar,votiv/kultinschrift,Genio pr[aep]/ositorum / et Genio con/legi(i)s(!) secutor/um eorum sub cur(a) / Verani Saturnini / [|(centurionis)] leg(ionis) V[III A]u[g(ustae) ---] / [----,Baden-Württemberg,48.6616037,9.3501336
secutor*,inschrift,,[---]/ [--]?ADIZ / [---] / [---] can(didatus) / [---]s can(didatus) / [---]in(us) dup(licarius) / [---]ian(us) dup(licarius) / [---]arius sec(utor) ?tr(ibuni) / [---]mus ?b(ene)f(iciarius) ?tr(ibuni) / [---] can(didatus) / [ --- ] // [---]/ DI[---] / Sep(timius) Carpia(nus?) / Sep(timius) Statilian(us) / Sep(timius) Castus / Sep(timius) Celsus can(didatus) / Sep(timius) Alexand(er) can(didatus) / Sep(timius) Nepos can(didatus) / Cl(audius) Alexande[r] / b(ene)f(iciarius) co(n)s(ularis) / [ ---],Aiud,46.3086633,23.724558
