Term, Object Type, Inscription Type, Inscription, Ancient Place Name, Ancient Latitude, Ancient Longitude
thraex,columna,cetera,ven[i]vit / mul(i)eri / D(ecimi) Lucreti Vale(ntis) / Onus(tus(?)) / eques I / r(ationis(?)) / Saga(tus) / t(h)r(aex) / m(urmillo) / I (rationis),Pompeii,40.75,14.25
thraex,vaso,estampilla,[L]origa / [Me]nto/[nianus vicit] / t(hraex) Clad[dus) / Me[nto/nianus / vicit [o(plomachus) - - -]lia Municipio Calag[orri Iulia] C(aius) Val(erius) Verdull(us pingit),Celsa,41.5,-0.5
thraex,unbestimmt,unbestimmt,Dis Manibus / Aptus l(ibertus) / T(h)raex,Roma,41.875,12.375
thraex,parallelepipedum?,sepulcralis,[--- Ca]llicarpus, t(hraex), m(issus) X, d(eceptus) XI, ((miles galeatus cum scuto)) ỌḲ C̣Ạ[---] /,Abellinum,40.75,14.75
