Term, Object Type, Inscription Type, Inscription, Modern Place Name, Modern Latitude, Modern Longitude
murmill*,unknown,unknown,/ T(h)r(aex) / Campanus / pug(narum) XX ⸢|⸣(coronarum) XX / [Bl]astus((?)) m(urmillo) d(e) s(uo) / dat,Nimes,43.836699,4.360054
murmill*,columna,cetera,ven[i]vit / mul(i)eri / D(ecimi) Lucreti Vale(ntis) / Onus(tus(?)) / eques I / r(ationis(?)) / Saga(tus) / t(h)r(aex) / m(urmillo) / I (rationis),Pompei (Napoli),40.7461572,14.4989344
murmill*,cipo,epitafio / sepulcral,Mur(millo) |(contra)r(ete) / Probus / PAVIL LXXXXIX / natione Germa(nus) / h(ic) s(itus) e(st) s(it) t(ibi) t(erra) l(evis) / Volumnia Spera[ta] / coniu<g=C>i pio / merenti / P(ublius) Volumnius / Vitalis patri pio / s(it) t(ibi) t(erra) l(evis),Córdoba,37.8881751,-4.7793835
murmill*,aedificium,cetera,((:gladiator, murmillo cum galea et scuto)),Ercolano (Napoli),40.8079195,14.3481628
murmill*,wall,unknown,/ ((:gladiator, murmillo cum galea et scuto)) ((:gladiator, murmillo type with helmet and shield)),Italy,41.87194,12.56738
murmill*,unknown,unknown,murmil(l)o Com(m)u(ni)s conc(iderunt) X esse(darius) VI,Perigueux,45.184029,0.7211149
murmill*,unbestimmt,unbestimmt,Mur(millo) / Monocostelus / imp(ugnavit) XXXX / primus Rapaces,Thonon,46.373565,6.477634999999999
